,From,To,Thickness,Lithology
68,13,27.0,14.0,"Basalt, Amygdular black hard compact with sec. minerals."
69,27,31.5,4.5,Basalt black hard compact.
70,31.5,32.4,0.9,Clay grey
71,32.4,37.0,4.6,"Amygdular vesicular basalt, black with secondary minerals."
72,37,46.0,9.0,Basalt black hard with veins of metallic growth.
73,46,52.0,6.0,Grey Bole.
74,52,59.5,7.5,Basalt Vesicular filled with sparse secondary fillings.
75,59.5,62.0,2.5,"Basalt black hard compact. with very few Vesicles filled with
secondary fillings"
76,62,65.0,3.0,"Basalt black hard compact. with vary few Vesicles filled with
secondary fillings and fracture."
77,65,73.0,8.0,Basalt black hard compact.
78,73,81.0,8.0,Basalt vesicular black filled with secondary minerals.
79,81,87.0,6.0,Basalt with vary few Vesicles filled with  secondary fillings
80,87,90.4,3.4,"Basalt, very fine, black hard."
81,90.4,93.4,3.0,Amygdular basalt black hard mixed with secondary minerals.
82,93.4,113.0,19.6,"Basalt black hard with very coarse grains, jointed."
83,113,117.0,4.0,Basalt Amygdular black compact.
84,117,125.0,8.0,"Basalt, steel black, massive hard compact."
85,125,135.6,10.6,"Sand, gritty, medium, dark brown, with medium to coarse
grains of quartz."
86,135.6,141.25,5.65,"Sand, gritty, medium to coarse, brown to reddish brown"
87,141.25,144.25,3.0,"Sandstone, brown, medium to coarse, with quartz grains
predominantly medium grained."
88,144.25,145.0,0.75,"sand, fine to coarse, with qtz pebbles of pale brown colour."
89,145,151.0,6.0,"sand, pale brown, fine to medium"
90,151,160.0,9.0,"sand, very fine, light brown to yellow."
91,160,164.0,4.0,"sand, medium, yellow"
92,164,170.0,6.0,"sand, medium to coarse, pale yellow"
93,170,183.0,13.0,sand fine to medium with  argillaceous material like silt or clay
94,183,200.0,17.0,"sand, medium with clay intercalations"
95,ww,8.0,8.0,"Top soil, mixed with clay, yellowish black"
96,8,14.0,6.0,"Sand, light yellow, very fine,"
97,14,20.0,6.0,"Sand, light yellow, very fine, with clay intercalations"
98,20,62.0,42.0,"Sand dark brown, medium to coarse, with prominent quartz
grains. with little at various depths clay intercalations"
99,62,67.0,5.0,"Sandy clay dark brown,"
100,67,85.0,18.0,"Sand dark brown, coarse, with prominent quartz grains. with
little  clay intercalations"
101,85,89.0,4.0,"Sand, medium medium to coarse, dark brown."
102,89,94.0,5.0,clay / shale chocolate brown .
103,94,113.0,19.0,"sand, dark brown, fine to coarse"
104,113,115.0,2.0,clay / shale greyish brown .
105,115,120.0,5.0,"Sandstone, light grey, fine grained, mixed with black shale
intercalations."
106,120,144.0,24.0,"Sandstone dark grey, mixed with black shale, with intercalated
ferruginous sandstone."
107,144,159.0,15.0,"Sand, light grey mixed with coarser chips of fine grained black
shale intercalations."
108,159,161.0,2.0,Clay black
109,161,177.0,16.0,clay blackish with Sand light pink to grey
110,177,180.0,3.0,"sand, light grey, fine mixed with shale"
